Achillea Millefolium
Achyranthes Aspera
Acorus calamus
Aegle marmelos
Aerva lanata
Agave americana
Ageratina adenophora
Allium sativum
Aloe Vera
Ammi majus
Amomum subulatum
Andrographis paniculata
Annona squamosa
Areca catechu
Artemisia vulgaris
Artocaepus lakooch
Asparagus racemosus
Azadirachta Indica
Bacopa monnieri
Bambusa vulgaris
Basella alba
Bergenia Ciliata
Boerhavia_diffusa
Bryophyllum pinnatum
Butea_monosperma
Calendula officinalis
Calotropis Gigantea
Cananga odorata
Cannabis sativa
Catharanthus roseus
Centella asiatica
Chamaecostus_cuspidatus
Cheilocostus speciosus
Cinnamomum verum
Cissus quadrangularis
Citrus_Limon
Clematis montana
Clerodendrum infortunatum
Clerodendrum_chinense
Clitoria ternatea
Coccinia_grandis
Coleus_amboinicus
Colocasia_escullenta
Curcuma_caesia
Cuscuta_reflexa
Cynodom_dactylon
Dactylorhiza_hatagirea
Datura metal linn
Desmodium gangeticum
Dioscorea_deltoidea
Diospyros kaki
Drymaria_cordata
Duboisia myoporoides
Eclipta Prostrata
Euphorbia_hirta
Fagopyrum esculentum
Ficus_religiosa
Gaultheria procumbens
Gymnema sylvestre
Helianthus annuus
Hemidesmus indicus
Hemigraphis colorata
Hibiscus_rosa_sinensis
Hyoscyamus niger
Inula_cappa
Iris_domestica
Juglans_regia
Justicia adhatoda
Leucas aspera
Manilkara_zapota
Matricaria chamomilla
Melaleuca alternifolia
Mentha_spicata
Morinda_citrifolia
Nardostachys_jatamansi
Ocimum_sanctum
Ophiocordyceps sinensis
Osyris Wightiana
Oxalis Corniculata
Paris pollyphyla
Peperomia pellucida
Persea Americana
Phyllanthus Emblica
Piper Longum
Piper nigrum
Plectranthus barbatus
Pongamia Pinnata
Psidium Guajava
Pterocarpus Santalinus
Punica Granatum
Rauwolfia Serpentina
Rhododendron Arboreum
Rhus Javanica
Ricinus Communis
Rosa Rubiginosa
Rose Mrytle
Rubia_cordifolia
Rubus Ellipticus
Ruta Graveolens
Sapindus mukorossi
Saraca Asoca
Scutellaria Discolor
Solanum_xanthocarpum
Tinospora cordifolia
Tradescantia_spathacea
Vitex negundo
Withania Somnifera
Xanthoparmelia scabrosa
Ziziphus jujuba
